State,Bans
Maine,83
Massachusetts,1
Minnesota,1
Ohio,3
West Virginia,0
Alabama,0
Iowa,3671
Virginia,121
Idaho,12
Missouri,57
Illinois,2
Rhode Island,0
Washington,0
Wisconsin,408
Arkansas,0
Connecticut,0
Michigan,0
New Hampshire,0
California,2
Colorado,0
Indiana,1
Louisiana,1
Nebraska,0
Nevada,0
Alaska,56
Arizona,0
Vermont,0
North Carolina,61
Oklahoma,0
Kentucky,100
Montana,3
New Jersey,1
New Mexico,0
North Dakota,0
Pennsylvania,20
Delaware,0
Kansas,0
Tennessee,34
Texas,538
South Carolina,64
South Dakota,0
Oregon,18
Utah,32
Hawaii,0
New York,6
Maryland,64
Mississippi,0
Wyoming,42
Florida,4561
Georgia,83
